1620949500000,49431.41000000,49759.10000000,49320.76000000,49670.97000000,693.01932500,1620950399999,34347340.65903466,23780,352.91677600,17491699.87564438,0
1620950400000,49671.92000000,50169.09000000,49479.77000000,50113.23000000,1671.95928000,1620951299999,83455094.68012305,43247,916.12366100,45723011.17169857,0
1620951300000,50113.22000000,50126.92000000,49730.61000000,49743.41000000,847.38005900,1620952199999,42298600.65131539,23474,398.94669500,19913603.36847674,0
1620952200000,49744.49000000,50081.57000000,49709.19000000,49885.35000000,961.37375600,1620953099999,47943151.25856678,21987,398.99659500,19900010.25662372,0
1620953100000,49885.36000000,50241.19000000,49787.89000000,50029.78000000,989.92301800,1620953999999,49543582.66714894,24788,483.48292200,24187484.63882406,0
1620954000000,50029.77000000,50276.98000000,49855.09000000,50266.97000000,918.75423900,1620954899999,46035773.01099903,23740,431.24120400,21609773.84344449,0
1620954900000,50266.98000000,50390.70000000,50080.00000000,50182.42000000,844.47613400,1620955799999,42434939.40239663,22342,387.10323100,19450832.74471974,0
1620955800000,50182.42000000,50236.15000000,49960.15000000,50115.44000000,519.73517400,1620956699999,26029949.42916604,16323,242.42623500,12140827.25517698,0
1620956700000,50115.43000000,50275.85000000,49928.29000000,50015.76000000,970.83842000,1620957599999,48632061.97477098,21994,370.37396700,18554482.80272810,0
1620957600000,50019.56000000,50070.68000000,49591.52000000,49624.00000000,855.06361900,1620958499999,42595950.80441789,23171,342.33379400,17051330.42682642,0
1620958500000,49624.01000000,49751.62000000,49414.50000000,49492.23000000,934.85889700,1620959399999,46335746.50165566,22850,401.19645400,19883440.56568470,0
1620959400000,49492.23000000,49748.73000000,49488.28000000,49609.70000000,729.91530700,1620960299999,36239910.35460436,16741,333.16797800,16541015.20279220,0
1620960300000,49609.71000000,49715.53000000,49433.79000000,49464.64000000,624.32693700,1620961199999,30949141.49282040,15227,269.86334900,13375875.00335375,0
1620961200000,49464.63000000,49663.18000000,49363.63000000,49412.98000000,690.06913300,1620962099999,34162860.17352059,16563,329.08478500,16288442.60940238,0
1620962100000,49409.65000000,49631.73000000,49271.77000000,49547.44000000,708.38342100,1620962999999,35004458.98961420,15600,349.41448400,17266683.54533167,0
1620963000000,49547.43000000,49547.43000000,49210.54000000,49360.33000000,553.01908400,1620963899999,27310019.66815522,14089,285.01465200,14076455.75130617,0
1620963900000,49360.34000000,49424.12000000,49021.01000000,49157.93000000,843.02593900,1620964799999,41483064.66685921,18791,446.49056400,21967900.26968577,0
1620964800000,49157.94000000,49520.37000000,49000.06000000,49450.00000000,907.38331000,1620965699999,44789213.51671241,20144,392.57653300,19377324.93960556,0
1620965700000,49449.99000000,49540.09000000,49203.83000000,49256.14000000,729.39812000,1620966599999,36016126.07735846,17133,341.55528000,16864588.03101586,0
1620966600000,49261.90000000,49499.19000000,48799.75000000,48848.99000000,1346.77900600,1620967499999,66157988.13516859,28257,545.36585400,26804179.42785733,0
1620967500000,48848.99000000,49290.99000000,48848.98000000,49198.86000000,948.47940800,1620968399999,46537088.50587610,21560,453.03338700,22228830.67891813,0
1620968400000,49195.17000000,49469.16000000,49042.29000000,49458.45000000,591.33654600,1620969299999,29120333.94519747,17138,328.52372500,16179193.98694143,0
1620969300000,49458.46000000,49480.52000000,49163.09000000,49300.04000000,590.10157800,1620970199999,29103995.98908688,18025,280.28049100,13821982.80680791,0
1620970200000,49300.04000000,49380.56000000,49100.00000000,49328.55000000,593.36243500,1620971099999,29223831.68337073,15931,286.43464100,14107734.77886200,0
1620971100000,49328.56000000,49736.84000000,49328.55000000,49653.44000000,901.65871300,1620971999999,44714819.66495667,21897,451.64750700,22397375.43321581,0
1620972000000,49649.77000000,49706.55000000,49289.60000000,49320.00000000,703.62993700,1620972899999,34837621.65840619,20129,295.88605200,14649497.62489256,0
1620972900000,49319.99000000,49354.79000000,48928.97000000,49002.82000000,1017.11518700,1620973799999,49979283.87249819,27728,486.42437200,23899516.15989584,0
1620973800000,49002.76000000,49212.29000000,48862.56000000,48953.72000000,872.05417000,1620974699999,42751472.33270249,22724,404.60096100,19835167.19891377,0
1620974700000,48954.64000000,49150.00000000,48869.00000000,49056.83000000,855.63833800,1620975599999,41914257.19842132,21781,452.80806200,22177466.70239477,0
1620975600000,49056.83000000,49850.00000000,49050.00000000,49840.58000000,1088.38663900,1620976499999,53873876.73880201,28878,568.73901900,28151932.03314867,0
1620976500000,49840.57000000,50097.91000000,49682.23000000,49915.38000000,1062.24836000,1620977399999,52980315.82252080,25978,544.42305500,27154945.98164449,0
